"","EPI_ISL_15752035.A.Brazil.2010","EPI_ISL_2575417.B.USA.2014","EPI_ISL_2575474.B.Kenya.2010","EPI_ISL_2575471.B.Philippines.2015","EPI_ISL_11428307.B.England.2015","EPI_ISL_2575423.B.Nicaragua.2015"
"EPI_ISL_15752035.A.Brazil.2010",0,58,55,55,57,59
"EPI_ISL_2575417.B.USA.2014",58,0,6,7,7,9
"EPI_ISL_2575474.B.Kenya.2010",55,6,0,5,5,7
"EPI_ISL_2575471.B.Philippines.2015",55,7,5,0,2,4
"EPI_ISL_11428307.B.England.2015",57,7,5,2,0,2
"EPI_ISL_2575423.B.Nicaragua.2015",59,9,7,4,2,0
