"","points.1","points.2","names"
"EPI_ISL_2575471.B.Philippines.2015",57.799486386599,2.35101617921925,"EPI_ISL_2575471.B.Philippines.2015"
"EPI_ISL_2575423.B.Nicaragua.2015",60.8526062756717,2.58949359510508,"EPI_ISL_2575423.B.Nicaragua.2015"
"EPI_ISL_11428307.B.England.2015",60.8526062756716,2.58949359510511,"EPI_ISL_11428307.B.England.2015"
"EPI_ISL_2575417.B.USA.2014",61.7058589275517,0.502861551267821,"EPI_ISL_2575417.B.USA.2014"
"EPI_ISL_2575474.B.Kenya.2010",62.452010474856,-8.05232083769057,"EPI_ISL_2575474.B.Kenya.2010"
"EPI_ISL_15752035.A.Brazil.2010",-62.4391215566023,-10.4391115428712,"EPI_ISL_15752035.A.Brazil.2010"
"EPI_ISL_2587410.A.New_Zealand.2015",-60.0521958416677,2.78249701142076,"EPI_ISL_2587410.A.New_Zealand.2015"
"EPI_ISL_2582196.A.Jordan.2011",-60.0535977443279,1.9264541146992,"EPI_ISL_2582196.A.Jordan.2011"
"EPI_ISL_2582197.A.USA.2015",-60.0652158382709,2.85287312484505,"EPI_ISL_2582197.A.USA.2015"
"EPI_ISL_6494953.A.England.2012",-61.0524373594814,2.89674320889937,"EPI_ISL_6494953.A.England.2012"
