"","points.1","points.2","names"
"EPI_ISL_2575417.B.USA.2014",-29.1535585115559,-0.370439281886035,"EPI_ISL_2575417.B.USA.2014"
"EPI_ISL_2575474.B.Kenya.2010",-27.0907299356884,4.21025211573379,"EPI_ISL_2575474.B.Kenya.2010"
"EPI_ISL_2575471.B.Philippines.2015",-26.382154932389,-1.10583376295862,"EPI_ISL_2575471.B.Philippines.2015"
"EPI_ISL_11428307.B.England.2015",-28.3773619299355,-1.17684322312959,"EPI_ISL_11428307.B.England.2015"
"EPI_ISL_2575423.B.Nicaragua.2015",-30.3017432444159,-1.53628385922501,"EPI_ISL_2575423.B.Nicaragua.2015"
"EPI_ISL_15752035.A.Brazil.2010",27.908798743737,7.85665397837727,"EPI_ISL_15752035.A.Brazil.2010"
"EPI_ISL_2582196.A.Jordan.2011",29.5546673757501,-2.85102873288241,"EPI_ISL_2582196.A.Jordan.2011"
"EPI_ISL_2582197.A.USA.2015",27.6289522132538,-1.46890304800448,"EPI_ISL_2582197.A.USA.2015"
"EPI_ISL_2587410.A.New_Zealand.2015",27.6289522132538,-1.46890304800448,"EPI_ISL_2587410.A.New_Zealand.2015"
"EPI_ISL_6494953.A.England.2012",28.5841780079899,-2.08867113802037,"EPI_ISL_6494953.A.England.2012"
